Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4105814786747704
75% Corpus,2,0.01,0.31,0.35938071667560667
75% Corpus,2,0.01,0.61,0.2969544938242474
75% Corpus,2,0.01,0.9099999999999999,0.29695449382424743
75% Corpus,2,0.01,symmetric,0.29695449382424743
75% Corpus,2,0.31,0.01,0.4105814786747704
75% Corpus,2,0.31,0.31,0.3446908619612568
75% Corpus,2,0.31,0.61,0.29695449382424743
75% Corpus,2,0.31,0.9099999999999999,0.29695449382424743
75% Corpus,2,0.31,symmetric,0.29695449382424743
75% Corpus,2,0.61,0.01,0.41058147867477046
75% Corpus,2,0.61,0.31,0.3446908619612568
75% Corpus,2,0.61,0.61,0.29695449382424743
75% Corpus,2,0.61,0.9099999999999999,0.29695449382424743
75% Corpus,2,0.61,symmetric,0.29695449382424743
75% Corpus,2,0.9099999999999999,0.01,0.41058147867477046
75% Corpus,2,0.9099999999999999,0.31,0.3376974292724516
75% Corpus,2,0.9099999999999999,0.61,0.29695449382424743
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.29695449382424743
75% Corpus,2,0.9099999999999999,symmetric,0.29695449382424743
75% Corpus,2,symmetric,0.01,0.41058147867477046
75% Corpus,2,symmetric,0.31,0.3446908619612568
75% Corpus,2,symmetric,0.61,0.2969544938242474
75% Corpus,2,symmetric,0.9099999999999999,0.2969544938242474
75% Corpus,2,symmetric,symmetric,0.29695449382424743
75% Corpus,2,asymmetric,0.01,0.41058147867477046
75% Corpus,2,asymmetric,0.31,0.34469086196125687
75% Corpus,2,asymmetric,0.61,0.2969544938242474
75% Corpus,2,asymmetric,0.9099999999999999,0.29695449382424743
75% Corpus,2,asymmetric,symmetric,0.29695449382424743
75% Corpus,3,0.01,0.01,0.44680181640356054
75% Corpus,3,0.01,0.31,0.4520413990415209
75% Corpus,3,0.01,0.61,0.4520413990415209
75% Corpus,3,0.01,0.9099999999999999,0.4520413990415209
75% Corpus,3,0.01,symmetric,0.4520413990415209
75% Corpus,3,0.31,0.01,0.44680181640356054
75% Corpus,3,0.31,0.31,0.4520413990415209
75% Corpus,3,0.31,0.61,0.4520413990415209
75% Corpus,3,0.31,0.9099999999999999,0.4520413990415209
75% Corpus,3,0.31,symmetric,0.4520413990415209
75% Corpus,3,0.61,0.01,0.44680181640356054
75% Corpus,3,0.61,0.31,0.4520413990415209
75% Corpus,3,0.61,0.61,0.4520413990415209
75% Corpus,3,0.61,0.9099999999999999,0.4520413990415209
75% Corpus,3,0.61,symmetric,0.4520413990415209
75% Corpus,3,0.9099999999999999,0.01,0.44680181640356054
75% Corpus,3,0.9099999999999999,0.31,0.44680181640356054
75% Corpus,3,0.9099999999999999,0.61,0.4520413990415209
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4520413990415209
75% Corpus,3,0.9099999999999999,symmetric,0.44680181640356054
75% Corpus,3,symmetric,0.01,0.44680181640356054
75% Corpus,3,symmetric,0.31,0.4520413990415209
75% Corpus,3,symmetric,0.61,0.4520413990415209
75% Corpus,3,symmetric,0.9099999999999999,0.4520413990415209
75% Corpus,3,symmetric,symmetric,0.4520413990415209
75% Corpus,3,asymmetric,0.01,0.44680181640356054
75% Corpus,3,asymmetric,0.31,0.4492099754544805
75% Corpus,3,asymmetric,0.61,0.4492099754544805
75% Corpus,3,asymmetric,0.9099999999999999,0.4520413990415209
75% Corpus,3,asymmetric,symmetric,0.4492099754544805
75% Corpus,4,0.01,0.01,0.3433032561439184
75% Corpus,4,0.01,0.31,0.349132995031179
75% Corpus,4,0.01,0.61,0.37308721244333265
75% Corpus,4,0.01,0.9099999999999999,0.35114432669241774
75% Corpus,4,0.01,symmetric,0.349132995031179
75% Corpus,4,0.31,0.01,0.35004774366950886
75% Corpus,4,0.31,0.31,0.349132995031179
75% Corpus,4,0.31,0.61,0.3528040266070714
75% Corpus,4,0.31,0.9099999999999999,0.3318654613328836
75% Corpus,4,0.31,symmetric,0.349132995031179
75% Corpus,4,0.61,0.01,0.3560982092300291
75% Corpus,4,0.61,0.31,0.33599994827208274
75% Corpus,4,0.61,0.61,0.33714651814626634
75% Corpus,4,0.61,0.9099999999999999,0.33714651814626634
75% Corpus,4,0.61,symmetric,0.33599994827208274
75% Corpus,4,0.9099999999999999,0.01,0.3664466525637785
75% Corpus,4,0.9099999999999999,0.31,0.3357125880363917
75% Corpus,4,0.9099999999999999,0.61,0.33714651814626634
