Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.33433532386501336
75% Corpus,2,0.01,0.31,0.3343353238650134
75% Corpus,2,0.01,0.61,0.3343353238650134
75% Corpus,2,0.01,0.9099999999999999,0.30462197041432076
75% Corpus,2,0.01,symmetric,0.3343353238650134
75% Corpus,2,0.31,0.01,0.32496000727443874
75% Corpus,2,0.31,0.31,0.3343353238650134
75% Corpus,2,0.31,0.61,0.3343353238650134
75% Corpus,2,0.31,0.9099999999999999,0.3046219704143208
75% Corpus,2,0.31,symmetric,0.33433532386501336
75% Corpus,2,0.61,0.01,0.3249600072744388
75% Corpus,2,0.61,0.31,0.3343353238650134
75% Corpus,2,0.61,0.61,0.3343353238650134
75% Corpus,2,0.61,0.9099999999999999,0.3046219704143208
75% Corpus,2,0.61,symmetric,0.3343353238650134
75% Corpus,2,0.9099999999999999,0.01,0.34770846468591843
75% Corpus,2,0.9099999999999999,0.31,0.32496000727443874
75% Corpus,2,0.9099999999999999,0.61,0.3343353238650134
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3343353238650134
75% Corpus,2,0.9099999999999999,symmetric,0.3343353238650134
75% Corpus,2,symmetric,0.01,0.3249600072744388
75% Corpus,2,symmetric,0.31,0.3343353238650134
75% Corpus,2,symmetric,0.61,0.33433532386501336
75% Corpus,2,symmetric,0.9099999999999999,0.3046219704143208
75% Corpus,2,symmetric,symmetric,0.3343353238650134
75% Corpus,2,asymmetric,0.01,0.3249600072744388
75% Corpus,2,asymmetric,0.31,0.3343353238650134
75% Corpus,2,asymmetric,0.61,0.33433532386501336
75% Corpus,2,asymmetric,0.9099999999999999,0.3343353238650134
75% Corpus,2,asymmetric,symmetric,0.3343353238650134
75% Corpus,3,0.01,0.01,0.4622287793470263
75% Corpus,3,0.01,0.31,0.4637142651774023
75% Corpus,3,0.01,0.61,0.4637142651774023
75% Corpus,3,0.01,0.9099999999999999,0.4637142651774023
75% Corpus,3,0.01,symmetric,0.4637142651774023
75% Corpus,3,0.31,0.01,0.4622287793470263
75% Corpus,3,0.31,0.31,0.4637142651774023
75% Corpus,3,0.31,0.61,0.4637142651774023
75% Corpus,3,0.31,0.9099999999999999,0.4637142651774023
75% Corpus,3,0.31,symmetric,0.4637142651774023
75% Corpus,3,0.61,0.01,0.4622287793470263
75% Corpus,3,0.61,0.31,0.4637142651774023
75% Corpus,3,0.61,0.61,0.4637142651774023
75% Corpus,3,0.61,0.9099999999999999,0.4637142651774023
75% Corpus,3,0.61,symmetric,0.4637142651774023
75% Corpus,3,0.9099999999999999,0.01,0.4622287793470263
75% Corpus,3,0.9099999999999999,0.31,0.4637142651774023
75% Corpus,3,0.9099999999999999,0.61,0.4637142651774023
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4637142651774023
75% Corpus,3,0.9099999999999999,symmetric,0.4637142651774023
75% Corpus,3,symmetric,0.01,0.4622287793470263
75% Corpus,3,symmetric,0.31,0.4637142651774023
75% Corpus,3,symmetric,0.61,0.4637142651774023
75% Corpus,3,symmetric,0.9099999999999999,0.4637142651774023
75% Corpus,3,symmetric,symmetric,0.4637142651774023
75% Corpus,3,asymmetric,0.01,0.4622287793470263
75% Corpus,3,asymmetric,0.31,0.4637142651774023
75% Corpus,3,asymmetric,0.61,0.4637142651774023
75% Corpus,3,asymmetric,0.9099999999999999,0.4637142651774023
75% Corpus,3,asymmetric,symmetric,0.4637142651774023
75% Corpus,4,0.01,0.01,0.5186190432601341
75% Corpus,4,0.01,0.31,0.5309135229262552
75% Corpus,4,0.01,0.61,0.5475746649674931
75% Corpus,4,0.01,0.9099999999999999,0.5493551106415315
75% Corpus,4,0.01,symmetric,0.5216101487871742
75% Corpus,4,0.31,0.01,0.5216101487871743
75% Corpus,4,0.31,0.31,0.5309135229262552
75% Corpus,4,0.31,0.61,0.5493520068066592
75% Corpus,4,0.31,0.9099999999999999,0.5470316413336928
75% Corpus,4,0.31,symmetric,0.5309135229262552
75% Corpus,4,0.61,0.01,0.5209071652504358
75% Corpus,4,0.61,0.31,0.5277342956285205
75% Corpus,4,0.61,0.61,0.5502748579346547
75% Corpus,4,0.61,0.9099999999999999,0.5498482216403164
75% Corpus,4,0.61,symmetric,0.5309135229262552
75% Corpus,4,0.9099999999999999,0.01,0.5209071652504358
75% Corpus,4,0.9099999999999999,0.31,0.5270313120917821
75% Corpus,4,0.9099999999999999,0.61,0.5502748579346547
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5502748579346548
75% Corpus,4,0.9099999999999999,symmetric,0.5270313120917821
75% Corpus,4,symmetric,0.01,0.5216101487871743
75% Corpus,4,symmetric,0.31,0.5309135229262552
75% Corpus,4,symmetric,0.61,0.5493520068066592
75% Corpus,4,symmetric,0.9099999999999999,0.5470316413336928
75% Corpus,4,symmetric,symmetric,0.5154921796650493
75% Corpus,4,asymmetric,0.01,0.5179160597233957
75% Corpus,4,asymmetric,0.31,0.5277342956285205
75% Corpus,4,asymmetric,0.61,0.5505495607291182
75% Corpus,4,asymmetric,0.9099999999999999,0.5484975160954886
75% Corpus,4,asymmetric,symmetric,0.5277342956285205
