Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4464392639084952
75% Corpus,2,0.01,0.31,0.4464392639084952
75% Corpus,2,0.01,0.61,0.4353298541811986
75% Corpus,2,0.01,0.9099999999999999,0.4353298541811986
75% Corpus,2,0.01,symmetric,0.4464392639084952
75% Corpus,2,0.31,0.01,0.4464392639084952
75% Corpus,2,0.31,0.31,0.4464392639084952
75% Corpus,2,0.31,0.61,0.4464392639084952
75% Corpus,2,0.31,0.9099999999999999,0.4353298541811986
75% Corpus,2,0.31,symmetric,0.4464392639084952
75% Corpus,2,0.61,0.01,0.4464392639084952
75% Corpus,2,0.61,0.31,0.4464392639084952
75% Corpus,2,0.61,0.61,0.4464392639084952
75% Corpus,2,0.61,0.9099999999999999,0.4353298541811986
75% Corpus,2,0.61,symmetric,0.4464392639084952
75% Corpus,2,0.9099999999999999,0.01,0.4464392639084952
75% Corpus,2,0.9099999999999999,0.31,0.4464392639084952
75% Corpus,2,0.9099999999999999,0.61,0.4464392639084952
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4353298541811986
75% Corpus,2,0.9099999999999999,symmetric,0.4464392639084952
75% Corpus,2,symmetric,0.01,0.4464392639084952
75% Corpus,2,symmetric,0.31,0.4464392639084952
75% Corpus,2,symmetric,0.61,0.4464392639084952
75% Corpus,2,symmetric,0.9099999999999999,0.4353298541811986
75% Corpus,2,symmetric,symmetric,0.4464392639084952
75% Corpus,2,asymmetric,0.01,0.4464392639084952
75% Corpus,2,asymmetric,0.31,0.4464392639084952
75% Corpus,2,asymmetric,0.61,0.4353298541811986
75% Corpus,2,asymmetric,0.9099999999999999,0.4353298541811986
75% Corpus,2,asymmetric,symmetric,0.4464392639084952
75% Corpus,3,0.01,0.01,0.6528124021841111
75% Corpus,3,0.01,0.31,0.6301796082382464
75% Corpus,3,0.01,0.61,0.6050916962795226
75% Corpus,3,0.01,0.9099999999999999,0.5506949836346023
75% Corpus,3,0.01,symmetric,0.6301796082382464
75% Corpus,3,0.31,0.01,0.705582272961454
75% Corpus,3,0.31,0.31,0.652812402184111
75% Corpus,3,0.31,0.61,0.6254023045215656
75% Corpus,3,0.31,0.9099999999999999,0.6050916962795226
75% Corpus,3,0.31,symmetric,0.652812402184111
75% Corpus,3,0.61,0.01,0.705582272961454
75% Corpus,3,0.61,0.31,0.6739299998632928
75% Corpus,3,0.61,0.61,0.652812402184111
75% Corpus,3,0.61,0.9099999999999999,0.6050916962795226
75% Corpus,3,0.61,symmetric,0.6739299998632928
75% Corpus,3,0.9099999999999999,0.01,0.7089688324919575
75% Corpus,3,0.9099999999999999,0.31,0.705582272961454
75% Corpus,3,0.9099999999999999,0.61,0.6528124021841111
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.6254023045215656
